,player,nationality_x,position_x,team_x,age_x,birth_year_x,gk_games,gk_games_starts,gk_minutes,minutes_90s_x,gk_goals_against_x,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed_x,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches_x,nationality_y,position_y,team_y,age_y,birth_year_y,minutes_90s_y,gk_goals_against_y,gk_pens_allowed_y,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches_y
0,Doğan Alemdar,tr TUR,GK,Rennes,19-333,2002.0,3.0,2.0,225.0,2.5,4.0,1.6,7.0,3.0,42.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,9e17ccff,tr TUR,GK,Rennes,19-333,2002.0,2.5,1.6,0.0,0.0,0.4,0.0,1.32,0.34,-0.28,-0.29,6.4,15.2,42.1,22.0,1.6,50.9,39.3,7.2,55.6,42.3,8.4,0.4,4.8,0.4,0.4,14.2,9e17ccff
1,Paul Bernardoni,fr FRA,GK,Angers,25-162,1997.0,6.0,6.0,540.0,6.0,17.0,2.83,38.0,23.0,57.9,0.0,2.0,4.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,28dabd43,fr FRA,GK,Angers,25-162,1997.0,6.0,2.83,0.17,0.0,0.67,0.17,1.92,0.29,-0.75,-0.76,4.67,13.0,35.9,20.7,5.5,45.2,37.6,8.83,41.5,37.5,8.83,1.5,17.0,0.17,0.17,11.9,28dabd43
2,Marco Bizot,nl NED,GK,Brest,31-201,1991.0,8.0,8.0,720.0,8.0,18.0,2.25,39.0,22.0,56.4,1.0,2.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,3d214e5f,nl NED,GK,Brest,31-201,1991.0,8.0,2.25,0.13,0.0,0.5,0.0,2.16,0.4,-0.09,-0.09,5.63,13.9,40.5,20.5,3.63,46.3,40.1,6.0,72.9,52.9,5.25,0.0,0.0,0.25,0.25,13.5,3d214e5f
3,Rubén Blanco,es ESP,GK,Marseille,27-064,1995.0,2.0,2.0,180.0,2.0,2.0,1.0,11.0,9.0,81.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,967f34d3,es ESP,GK,Marseille,27-064,1995.0,2.0,1.0,0.0,0.0,0.5,0.0,0.95,0.18,-0.05,-0.03,5.0,16.5,30.3,25.5,5.5,39.2,35.2,11.0,59.1,43.8,12.0,0.5,4.2,0.5,0.5,12.1,967f34d3
4,Marcin Bułka,pl POL,GK,Nice,22-358,1999.0,2.0,2.0,180.0,2.0,2.0,1.0,5.0,3.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,db87a2c4,pl POL,GK,Nice,22-358,1999.0,2.0,1.0,0.0,0.0,0.0,0.0,0.9,0.36,-0.1,-0.11,5.0,12.0,41.7,24.5,4.5,26.5,29.5,9.0,61.1,44.1,7.0,0.0,0.0,0.0,0.0,11.8,db87a2c4
5,Matis Carvalho,pt POR,GK,Montpellier,23-152,1999.0,2.0,1.0,136.0,1.5,3.0,1.99,8.0,5.0,62.5,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,8608f269,pt POR,GK,Montpellier,23-152,1999.0,1.5,2.0,0.0,0.0,0.0,0.0,1.4,0.26,-0.6,-0.59,9.33,31.3,29.8,26.0,2.67,84.6,57.7,9.33,100.0,63.6,15.3,1.33,8.7,0.0,0.0,11.0,8608f269
6,Leonardo César Jardim,br BRA,GK,Lille,27-191,1995.0,6.0,6.0,540.0,6.0,13.0,2.17,16.0,5.0,31.3,3.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,f5dfc256,br BRA,GK,Lille,27-191,1995.0,6.0,2.17,0.33,0.0,0.33,0.0,1.75,0.55,-0.42,-0.41,2.17,7.33,29.5,23.0,4.5,28.3,29.7,3.17,26.3,29.3,7.33,0.5,6.8,1.0,1.0,15.8,f5dfc256
7,Lucas Chevalier,fr FRA,GK,Lille,20-325,2001.0,2.0,2.0,180.0,2.0,3.0,1.5,12.0,9.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,b3d76d84,fr FRA,GK,Lille,20-325,2001.0,2.0,1.5,0.0,0.0,0.0,0.0,1.95,0.32,0.45,0.45,3.0,17.5,17.1,27.0,3.5,53.7,43.9,3.0,100.0,69.0,7.5,1.0,13.3,0.5,0.5,12.0,b3d76d84
8,Benoît Costil,fr FRA,GK,Auxerre,35-086,1987.0,8.0,8.0,720.0,8.0,19.0,2.37,50.0,31.0,62.0,2.0,1.0,5.0,1.0,12.5,0.0,0.0,0.0,0.0,,2434f24a,fr FRA,GK,Auxerre,35-086,1987.0,8.0,2.38,0.0,0.0,0.38,0.0,2.02,0.33,-0.35,-0.35,6.75,18.0,37.5,26.4,3.0,45.5,40.7,7.25,82.8,58.4,8.13,0.13,1.5,0.5,0.5,14.9,2434f24a
9,Mory Diaw,sn SEN,GK,Clermont Foot,29-097,1993.0,8.0,8.0,720.0,8.0,13.0,1.62,44.0,34.0,77.3,3.0,1.0,4.0,3.0,37.5,4.0,3.0,1.0,0.0,25.0,f41a69e6,sn SEN,GK,Clermont Foot,29-097,1993.0,8.0,1.63,0.38,0.0,0.13,0.0,2.1,0.3,0.47,0.48,6.5,16.8,38.8,28.6,5.5,45.4,40.7,6.5,57.7,47.9,6.5,0.38,5.8,0.25,0.25,13.3,f41a69e6
10,Yehvann Diouf,fr FRA,GK,Reims,22-315,1999.0,1.0,1.0,90.0,1.0,3.0,3.0,11.0,8.0,72.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,eedea60b,fr FRA,GK,Reims,22-315,1999.0,1.0,3.0,0.0,0.0,0.0,0.0,3.9,0.37,0.9,0.95,5.0,17.0,29.4,17.0,6.0,64.7,47.1,7.0,85.7,52.6,12.0,2.0,16.7,1.0,1.0,9.6,eedea60b
11,Gianluigi Donnarumma,it ITA,GK,Paris S-G,23-214,1999.0,8.0,8.0,720.0,8.0,4.0,0.5,28.0,24.0,85.7,7.0,1.0,0.0,5.0,62.5,1.0,0.0,1.0,0.0,100.0,08f5afaa,it ITA,GK,Paris S-G,23-214,1999.0,8.0,0.5,0.0,0.0,0.0,0.0,0.78,0.2,0.28,0.28,1.75,3.88,45.2,22.1,4.75,15.8,23.3,3.88,9.7,22.5,4.88,0.75,15.4,0.13,0.13,12.9,08f5afaa
12,Maxime Dupé,fr FRA,GK,Toulouse,29-207,1993.0,8.0,8.0,720.0,8.0,13.0,1.62,34.0,22.0,64.7,2.0,2.0,4.0,2.0,25.0,2.0,1.0,1.0,0.0,50.0,0e12089d,fr FRA,GK,Toulouse,29-207,1993.0,8.0,1.63,0.13,0.13,0.25,0.0,1.75,0.37,0.13,0.13,5.0,11.5,43.5,31.3,5.38,29.2,32.3,6.0,39.6,38.3,5.88,0.0,0.0,0.88,0.88,13.6,0e12089d
13,Yahia Fofana,fr FRA,GK,Angers,22-037,2000.0,2.0,2.0,180.0,2.0,1.0,0.5,7.0,5.0,85.7,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,,9d420dad,fr FRA,GK,Angers,22-037,2000.0,2.0,0.5,0.0,0.0,0.0,0.0,0.75,0.22,0.25,0.26,5.5,12.0,45.8,19.5,5.0,41.0,37.4,7.0,57.1,43.3,8.5,1.0,11.8,1.0,1.0,15.2,9d420dad
14,Gauthier Gallon,fr FRA,GK,Troyes,29-157,1993.0,8.0,8.0,720.0,8.0,16.0,2.0,37.0,21.0,56.8,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,db3164e1,fr FRA,GK,Troyes,29-157,1993.0,8.0,2.0,0.0,0.0,0.38,0.13,1.76,0.39,-0.11,-0.11,4.25,12.6,33.7,21.1,4.0,40.8,36.8,7.88,50.8,38.8,7.88,0.75,9.5,0.25,0.25,12.4,db3164e1
15,Bingourou Kamara,sn SEN,GK,Montpellier,25-341,1996.0,1.0,1.0,90.0,1.0,2.0,2.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3814120d,sn SEN,GK,Montpellier,25-341,1996.0,1.0,2.0,1.0,0.0,0.0,0.0,1.4,0.18,-0.6,-0.6,3.0,11.0,27.3,26.0,3.0,34.6,35.8,9.0,22.2,30.3,5.0,0.0,0.0,0.0,0.0,15.0,3814120d
16,Alban Lafont,fr FRA,GK,Nantes,23-247,1999.0,8.0,8.0,720.0,8.0,11.0,1.37,34.0,24.0,67.6,1.0,4.0,3.0,2.0,25.0,0.0,0.0,0.0,0.0,,4e7db402,fr FRA,GK,Nantes,23-247,1999.0,8.0,1.38,0.0,0.13,0.25,0.13,1.07,0.25,-0.17,-0.18,4.63,15.1,30.6,26.9,5.88,39.1,38.6,6.75,68.5,52.3,7.25,1.13,15.5,0.25,0.25,12.7,4e7db402
17,Benjamin Leroy,fr FRA,GK,Ajaccio,33-173,1989.0,8.0,8.0,638.0,7.1,11.0,1.55,30.0,20.0,66.7,1.0,1.0,6.0,2.0,25.0,2.0,1.0,0.0,1.0,0.0,1e7aea56,fr FRA,GK,Ajaccio,33-173,1989.0,7.1,1.55,0.14,0.0,0.28,0.0,1.46,0.32,-0.08,-0.09,4.51,14.1,32.0,19.3,2.82,51.8,41.4,5.77,70.7,49.5,7.04,0.56,8.0,1.13,1.13,15.4,1e7aea56
