Unnamed: 0,ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,1,Yunis Abdelhamid,ma MAR,DF,Reims,34-364,1987,8,8,720,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.04,0.0,0.04,0.04,0.04,32c2d95f,6,0,0.0,0.75,0.0,0.0,,13.3,0,0.06,-0.3,-0.3,226,285,79.3,4640,1752,67,79,84.8,132,146,90.4,24,51,47.1,0.0,0,24,1,0,28,254,31,24,0,30,9,1,0,0,0,0,201,26,58,170,84,17,2,2,1,7,7,6,4,0.5,2,0,0,0,0,2,0,0.0,0,0,0,0,0,0,16,9,9,6,1,6,11,54.5,5,114,42,36.8,58,52,4,12,3,0,9,21,37,20,0,369,51,190,184,19,10,340,3,7,42.9,4,0,200,1187,677,17,2,0,1,11,199,193,97.0,1,0,13,4,0,0,0,0,71,17,6,73.9
1,2,Himad Abdelli,fr FRA,MF,Angers,22-314,1999,2,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7978cbf0,0,0,,0.0,0.0,,,,0,,0.0,0.0,13,15,86.7,280,48,4,5,80.0,6,6,100.0,3,4,75.0,0.0,0,2,0,0,3,15,0,0,0,1,1,0,0,0,0,0,15,0,0,1,14,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,15,0,1,9,9,0,15,2,2,100.0,2,0,14,101,47,5,2,0,0,0,17,15,88.2,1,0,0,0,0,0,0,0,0,0,1,0.0
2,3,Salis Abdul Samed,gh GHA,MF,Lens,22-185,2000,8,8,720,8.0,1,0,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,0.2,0.2,0.0,0.3,0.03,0.01,0.03,0.03,0.03,82464ce3,4,1,25.0,0.5,0.12,0.25,1.0,20.8,0,0.05,0.8,0.8,458,497,92.2,8094,1532,207,220,94.1,199,210,94.8,48,61,78.7,0.0,2,30,5,1,26,484,13,13,1,50,8,3,0,0,0,0,427,35,35,44,430,17,0,4,3,4,6,2,5,0.62,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,16,8,5,9,2,5,11,45.5,6,148,40,27.0,56,72,20,9,2,0,7,18,34,9,0,572,18,108,411,81,7,562,6,8,75.0,6,1,407,1791,756,25,4,0,7,9,464,441,95.0,13,0,20,13,0,0,0,0,62,3,5,37.5
3,4,Laurent Abergel,fr FRA,MF,Lorient,29-238,1993,8,8,693,7.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.02,0.05,0.06,0.02,0.06,31626657,3,0,0.0,0.39,0.0,0.0,,22.4,0,0.04,-0.1,-0.1,306,337,90.8,5440,1785,140,144,97.2,125,134,93.3,36,47,76.6,-0.4,5,29,1,0,23,331,6,6,2,65,5,1,0,0,0,0,281,30,26,21,307,7,0,0,1,4,4,4,10,1.3,8,0,1,0,0,1,0,0.0,0,0,0,0,0,0,31,21,24,7,0,8,27,29.6,19,137,39,28.5,84,49,4,11,1,0,10,10,41,12,0,418,26,163,228,42,1,412,2,5,40.0,3,0,283,909,434,13,5,1,5,7,301,290,96.3,3,0,11,9,0,0,0,0,50,3,3,50.0
4,5,Matthis Abline,fr FRA,"FW,MF",Rennes,19-183,2003,5,0,75,0.8,1,0,1,0,0,0,0,1.2,0.0,1.2,1.2,1.2,0.5,0.5,0.1,0.6,0.65,0.09,0.74,0.65,0.74,0e46fa2f,4,1,25.0,4.8,1.2,0.25,1.0,9.3,0,0.14,0.5,0.5,4,10,40.0,62,26,3,4,75.0,1,2,50.0,0,0,,-0.1,1,0,1,1,0,10,0,0,0,3,0,3,0,0,0,0,7,2,1,4,5,0,0,0,0,0,0,3,4,4.8,1,0,0,2,0,1,1,1.2,0,0,0,0,0,1,2,1,0,0,2,1,2,50.0,1,17,7,41.2,0,8,9,1,0,0,1,2,4,1,0,32,1,2,10,22,12,32,0,1,0.0,1,0,15,59,43,3,1,1,9,0,35,20,57.1,9,0,2,1,0,0,0,0,4,3,2,60.0
5,6,Zakaria Aboukhlal,ma MAR,"FW,DF",Toulouse,22-221,2000,8,7,611,6.8,2,1,2,0,0,0,0,0.29,0.15,0.44,0.29,0.44,1.2,1.2,1.2,2.4,0.18,0.18,0.36,0.18,0.36,c2a6033c,15,5,33.3,2.21,0.74,0.13,0.4,16.1,0,0.08,0.8,0.8,112,172,65.1,1457,366,81,98,82.7,28,45,62.2,1,8,12.5,-0.2,4,3,3,0,9,166,6,0,0,24,0,12,0,0,0,0,130,25,17,112,48,4,6,1,1,5,11,14,11,1.62,6,0,0,0,4,1,1,0.15,1,0,0,0,0,0,12,7,6,2,4,4,15,26.7,11,106,27,25.5,25,35,46,5,0,0,5,7,19,5,0,269,7,43,95,145,45,263,8,22,36.4,10,2,196,960,492,36,8,15,21,8,281,197,70.1,59,0,11,9,4,0,0,0,27,4,10,28.6
6,7,Mohamed Achi,fr FRA,MF,Nantes,20-254,2002,2,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.07,0.16,0.09,0.16,1e93fc5d,1,0,0.0,2.5,0.0,0.0,,25.0,0,0.04,0.0,0.0,19,22,86.4,307,104,9,9,100.0,9,11,81.8,1,2,50.0,0.0,1,1,0,0,2,21,1,0,0,1,0,0,1,0,1,0,19,1,2,19,3,0,0,0,0,0,1,0,2,5.0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,8,2,25.0,1,4,3,0,0,0,0,2,3,0,0,26,0,6,13,11,0,25,3,3,100.0,3,0,25,118,81,3,1,0,0,2,22,20,90.9,1,0,2,0,0,0,0,0,2,0,0,
7,8,Martin Adeline,fr FRA,MF,Reims,18-299,2003,3,0,66,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,7587446d,1,0,0.0,1.36,0.0,0.0,,24.0,0,0.04,0.0,0.0,16,22,72.7,192,32,11,12,91.7,3,4,75.0,0,1,0.0,0.0,0,0,0,0,0,19,3,1,0,6,0,0,1,0,0,0,14,6,2,5,14,1,1,0,0,1,0,3,1,1.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,1,1,0,0,1,0.0,1,19,7,36.8,7,11,1,0,0,0,0,2,4,2,0,33,1,11,11,13,1,30,2,3,66.7,3,0,18,118,75,1,1,0,3,2,21,16,76.2,2,0,1,0,0,0,0,0,7,1,0,100.0
8,9,Emmanuel Agbadou,ci CIV,"DF,MF",Reims,25-102,1997,7,6,520,5.8,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.02,0.08,0.1,0.02,0.1,75f1ed80,4,2,50.0,0.69,0.35,0.0,0.0,13.9,0,0.03,-0.1,-0.1,216,255,84.7,4691,1751,68,74,91.9,109,118,92.4,38,59,64.4,-0.5,3,13,4,0,13,236,19,17,2,19,6,0,0,0,0,0,189,22,44,27,211,10,1,0,0,4,1,4,7,1.21,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0,16,8,9,6,1,8,11,72.7,3,70,25,35.7,37,31,2,11,3,0,8,12,28,21,1,324,60,195,128,18,4,305,3,4,75.0,4,0,179,1074,528,12,3,1,4,2,179,172,96.1,2,0,9,3,0,0,0,0,62,11,10,52.4
9,10,Lucien Agoume,fr FRA,MF,Troyes,20-230,2002,2,1,73,0.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.58,0.58,0.0,0.58,8bc8829a,0,0,,0.0,0.0,,,,0,,0.0,0.0,25,32,78.1,418,105,11,13,84.6,13,16,81.3,1,3,33.3,-0.5,2,2,1,0,3,31,1,1,0,4,0,1,0,0,0,0,24,2,6,9,20,1,0,0,0,0,1,0,2,2.47,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,1,1,0,0,1,0.0,1,13,3,23.1,6,6,1,2,1,0,1,2,4,2,0,41,3,13,23,8,0,41,1,2,50.0,1,0,25,160,89,7,2,0,0,0,29,27,93.1,0,0,2,1,1,0,0,0,6,3,0,100.0
